HSCode,Commodity,value,country,year
30,PHARMACEUTICAL PRODUCTS,248.11,AUSTRALIA,2018
52,COTTON.,6.34,AUSTRALIA,2018
73,ARTICLES OF IRON OR STEEL,138.06,AUSTRALIA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.01,AUSTRIA,2018
30,PHARMACEUTICAL PRODUCTS,5.93,AUSTRIA,2018
52,COTTON.,3.81,AUSTRIA,2018
73,ARTICLES OF IRON OR STEEL,21.18,AUSTRIA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.03,AZERBAIJAN,2018
30,PHARMACEUTICAL PRODUCTS,3.55,AZERBAIJAN,2018
73,ARTICLES OF IRON OR STEEL,1.26,AZERBAIJAN,2018
30,PHARMACEUTICAL PRODUCTS,1.56,BAHAMAS,2018
52,COTTON.,0,BAHAMAS,2018
73,ARTICLES OF IRON OR STEEL,0,BAHAMAS,2018
17,SUGARS AND SUGAR CONFECTIONERY.,6.44,BAHARAIN IS,2018
26,"ORES, SLAG AND ASH.",1.79,BAHARAIN IS,2018
30,PHARMACEUTICAL PRODUCTS,4.94,BAHARAIN IS,2018
52,COTTON.,8.79,BAHARAIN IS,2018
73,ARTICLES OF IRON OR STEEL,28.17,BAHARAIN IS,2018
17,SUGARS AND SUGAR CONFECTIONERY.,76.6,BANGLADESH PR,2018
26,"ORES, SLAG AND ASH.",32.97,BANGLADESH PR,2018
30,PHARMACEUTICAL PRODUCTS,42.92,BANGLADESH PR,2018
52,COTTON.,1878.04,BANGLADESH PR,2018
73,ARTICLES OF IRON OR STEEL,105.01,BANGLADESH PR,2018
30,PHARMACEUTICAL PRODUCTS,1.51,BARBADOS,2018
52,COTTON.,0.26,BARBADOS,2018
73,ARTICLES OF IRON OR STEEL,0.12,BARBADOS,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.02,BELARUS,2018
30,PHARMACEUTICAL PRODUCTS,11.7,BELARUS,2018
52,COTTON.,0.07,BELARUS,2018
73,ARTICLES OF IRON OR STEEL,0.59,BELARUS,2018
17,SUGARS AND SUGAR CONFECTIONERY.,4.81,BELGIUM,2018
26,"ORES, SLAG AND ASH.",8.08,BELGIUM,2018
30,PHARMACEUTICAL PRODUCTS,174.92,BELGIUM,2018
52,COTTON.,33.94,BELGIUM,2018
73,ARTICLES OF IRON OR STEEL,133.81,BELGIUM,2018
30,PHARMACEUTICAL PRODUCTS,0.44,BELIZE,2018
73,ARTICLES OF IRON OR STEEL,0,BELIZE,2018
17,SUGARS AND SUGAR CONFECTIONERY.,19.02,BENIN,2018
30,PHARMACEUTICAL PRODUCTS,25.35,BENIN,2018
52,COTTON.,22.57,BENIN,2018
73,ARTICLES OF IRON OR STEEL,5.67,BENIN,2018
30,PHARMACEUTICAL PRODUCTS,0.04,BERMUDA,2018
52,COTTON.,0,BERMUDA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,4.62,BHUTAN,2018
26,"ORES, SLAG AND ASH.",2.25,BHUTAN,2018
30,PHARMACEUTICAL PRODUCTS,4.43,BHUTAN,2018
52,COTTON.,0.17,BHUTAN,2018
73,ARTICLES OF IRON OR STEEL,21.26,BHUTAN,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.02,BOLIVIA,2018
30,PHARMACEUTICAL PRODUCTS,19.54,BOLIVIA,2018
52,COTTON.,0.17,BOLIVIA,2018
73,ARTICLES OF IRON OR STEEL,2.75,BOLIVIA,2018
30,PHARMACEUTICAL PRODUCTS,0.8,BOSNIA-HRZGOVIN,2018
73,ARTICLES OF IRON OR STEEL,0.01,BOSNIA-HRZGOVIN,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.04,BOTSWANA,2018
30,PHARMACEUTICAL PRODUCTS,27.28,BOTSWANA,2018
52,COTTON.,0.04,BOTSWANA,2018
73,ARTICLES OF IRON OR STEEL,8.19,BOTSWANA,2018
30,PHARMACEUTICAL PRODUCTS,0.1,BR VIRGN IS,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.38,BRAZIL,2018
26,"ORES, SLAG AND ASH.",0.01,BRAZIL,2018
30,PHARMACEUTICAL PRODUCTS,269.55,BRAZIL,2018
52,COTTON.,20.49,BRAZIL,2018
73,ARTICLES OF IRON OR STEEL,93,BRAZIL,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.02,BRUNEI,2018
26,"ORES, SLAG AND ASH.",1.88,BRUNEI,2018
30,PHARMACEUTICAL PRODUCTS,0.17,BRUNEI,2018
52,COTTON.,0.04,BRUNEI,2018
73,ARTICLES OF IRON OR STEEL,0.44,BRUNEI,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.01,BULGARIA,2018
26,"ORES, SLAG AND ASH.",0.02,BULGARIA,2018
30,PHARMACEUTICAL PRODUCTS,18.16,BULGARIA,2018
52,COTTON.,6.28,BULGARIA,2018
73,ARTICLES OF IRON OR STEEL,2.18,BULGARIA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,1.2,BURKINA FASO,2018
30,PHARMACEUTICAL PRODUCTS,39.83,BURKINA FASO,2018
52,COTTON.,7.43,BURKINA FASO,2018
73,ARTICLES OF IRON OR STEEL,14.5,BURKINA FASO,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.1,BURUNDI,2018
30,PHARMACEUTICAL PRODUCTS,19.2,BURUNDI,2018
52,COTTON.,3.71,BURUNDI,2018
73,ARTICLES OF IRON OR STEEL,1.88,BURUNDI,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.04,C AFRI REP,2018
30,PHARMACEUTICAL PRODUCTS,5.24,C AFRI REP,2018
52,COTTON.,0.36,C AFRI REP,2018
73,ARTICLES OF IRON OR STEEL,0.52,C AFRI REP,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.02,CAMBODIA,2018
30,PHARMACEUTICAL PRODUCTS,45.37,CAMBODIA,2018
52,COTTON.,7.59,CAMBODIA,2018
73,ARTICLES OF IRON OR STEEL,1.7,CAMBODIA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,2.3,CAMEROON,2018
26,"ORES, SLAG AND ASH.",0.07,CAMEROON,2018
30,PHARMACEUTICAL PRODUCTS,36.56,CAMEROON,2018
52,COTTON.,1.05,CAMEROON,2018
73,ARTICLES OF IRON OR STEEL,4.55,CAMEROON,2018
17,SUGARS AND SUGAR CONFECTIONERY.,4.92,CANADA,2018
26,"ORES, SLAG AND ASH.",0,CANADA,2018
30,PHARMACEUTICAL PRODUCTS,263.73,CANADA,2018
52,COTTON.,6.5,CANADA,2018
73,ARTICLES OF IRON OR STEEL,272.67,CANADA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.34,CAPE VERDE IS,2018
30,PHARMACEUTICAL PRODUCTS,0.38,CAPE VERDE IS,2018
73,ARTICLES OF IRON OR STEEL,0.03,CAPE VERDE IS,2018
30,PHARMACEUTICAL PRODUCTS,1.76,CAYMAN IS,2018
73,ARTICLES OF IRON OR STEEL,0,CAYMAN IS,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.95,CHAD,2018
30,PHARMACEUTICAL PRODUCTS,20.58,CHAD,2018
52,COTTON.,0.1,CHAD,2018
73,ARTICLES OF IRON OR STEEL,1.31,CHAD,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.12,CHILE,2018
26,"ORES, SLAG AND ASH.",5.1,CHILE,2018
30,PHARMACEUTICAL PRODUCTS,91.43,CHILE,2018
52,COTTON.,19.68,CHILE,2018
73,ARTICLES OF IRON OR STEEL,123.85,CHILE,2018
17,SUGARS AND SUGAR CONFECTIONERY.,16.52,CHINA P RP,2018
26,"ORES, SLAG AND ASH.",1220.22,CHINA P RP,2018
30,PHARMACEUTICAL PRODUCTS,44.8,CHINA P RP,2018
52,COTTON.,1786.77,CHINA P RP,2018
73,ARTICLES OF IRON OR STEEL,74.16,CHINA P RP,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.08,COLOMBIA,2018
26,"ORES, SLAG AND ASH.",0,COLOMBIA,2018
30,PHARMACEUTICAL PRODUCTS,62.28,COLOMBIA,2018
52,COTTON.,105,COLOMBIA,2018
73,ARTICLES OF IRON OR STEEL,42.71,COLOMBIA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.38,COMOROS,2018
30,PHARMACEUTICAL PRODUCTS,0.54,COMOROS,2018
52,COTTON.,2.53,COMOROS,2018
73,ARTICLES OF IRON OR STEEL,0.62,COMOROS,2018
17,SUGARS AND SUGAR CONFECTIONERY.,2.85,CONGO D. REP.,2018
30,PHARMACEUTICAL PRODUCTS,85.18,CONGO D. REP.,2018
52,COTTON.,6.08,CONGO D. REP.,2018
73,ARTICLES OF IRON OR STEEL,11.3,CONGO D. REP.,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.53,CONGO P REP,2018
30,PHARMACEUTICAL PRODUCTS,21.6,CONGO P REP,2018
52,COTTON.,4.42,CONGO P REP,2018
73,ARTICLES OF IRON OR STEEL,2.39,CONGO P REP,2018
52,COTTON.,0,COOK IS,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0,COSTA RICA,2018
30,PHARMACEUTICAL PRODUCTS,15.44,COSTA RICA,2018
52,COTTON.,0.23,COSTA RICA,2018
73,ARTICLES OF IRON OR STEEL,0.39,COSTA RICA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,26.39,COTE D' IVOIRE,2018
30,PHARMACEUTICAL PRODUCTS,44.6,COTE D' IVOIRE,2018
52,COTTON.,9.34,COTE D' IVOIRE,2018
73,ARTICLES OF IRON OR STEEL,5.23,COTE D' IVOIRE,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.07,CROATIA,2018
30,PHARMACEUTICAL PRODUCTS,5.12,CROATIA,2018
52,COTTON.,3.99,CROATIA,2018
73,ARTICLES OF IRON OR STEEL,2.98,CROATIA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.15,CUBA,2018
26,"ORES, SLAG AND ASH.",0.41,CUBA,2018
30,PHARMACEUTICAL PRODUCTS,10.22,CUBA,2018
52,COTTON.,0.3,CUBA,2018
73,ARTICLES OF IRON OR STEEL,0.12,CUBA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0,CYPRUS,2018
26,"ORES, SLAG AND ASH.",0.06,CYPRUS,2018
30,PHARMACEUTICAL PRODUCTS,1.89,CYPRUS,2018
52,COTTON.,0.12,CYPRUS,2018
73,ARTICLES OF IRON OR STEEL,2.69,CYPRUS,2018
17,SUGARS AND SUGAR CONFECTIONERY.,4.34,CZECH REPUBLIC,2018
30,PHARMACEUTICAL PRODUCTS,44.57,CZECH REPUBLIC,2018
52,COTTON.,8.14,CZECH REPUBLIC,2018
73,ARTICLES OF IRON OR STEEL,63.11,CZECH REPUBLIC,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.16,DENMARK,2018
30,PHARMACEUTICAL PRODUCTS,32.14,DENMARK,2018
52,COTTON.,4.75,DENMARK,2018
73,ARTICLES OF IRON OR STEEL,37.39,DENMARK,2018
17,SUGARS AND SUGAR CONFECTIONERY.,98.72,DJIBOUTI,2018
26,"ORES, SLAG AND ASH.",0.07,DJIBOUTI,2018
30,PHARMACEUTICAL PRODUCTS,6.45,DJIBOUTI,2018
52,COTTON.,4.22,DJIBOUTI,2018
73,ARTICLES OF IRON OR STEEL,0.82,DJIBOUTI,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.84,DOMINIC REP,2018
30,PHARMACEUTICAL PRODUCTS,35.01,DOMINIC REP,2018
52,COTTON.,15.76,DOMINIC REP,2018
73,ARTICLES OF IRON OR STEEL,11.02,DOMINIC REP,2018
30,PHARMACEUTICAL PRODUCTS,0.34,DOMINICA,2018
52,COTTON.,0.04,DOMINICA,2018
73,ARTICLES OF IRON OR STEEL,0.03,DOMINICA,2018
30,PHARMACEUTICAL PRODUCTS,28.7,ECUADOR,2018
52,COTTON.,9.9,ECUADOR,2018
73,ARTICLES OF IRON OR STEEL,1.9,ECUADOR,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.22,EGYPT A RP,2018
26,"ORES, SLAG AND ASH.",0.87,EGYPT A RP,2018
30,PHARMACEUTICAL PRODUCTS,35.22,EGYPT A RP,2018
52,COTTON.,221.08,EGYPT A RP,2018
73,ARTICLES OF IRON OR STEEL,89.84,EGYPT A RP,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.12,EL SALVADOR,2018
30,PHARMACEUTICAL PRODUCTS,13.92,EL SALVADOR,2018
52,COTTON.,0.62,EL SALVADOR,2018
73,ARTICLES OF IRON OR STEEL,0.56,EL SALVADOR,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.04,EQUTL GUINEA,2018
30,PHARMACEUTICAL PRODUCTS,1.61,EQUTL GUINEA,2018
52,COTTON.,0.3,EQUTL GUINEA,2018
73,ARTICLES OF IRON OR STEEL,0.1,EQUTL GUINEA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.1,ERITREA,2018
30,PHARMACEUTICAL PRODUCTS,5.94,ERITREA,2018
73,ARTICLES OF IRON OR STEEL,0.26,ERITREA,2018
30,PHARMACEUTICAL PRODUCTS,0.35,ESTONIA,2018
52,COTTON.,1.1,ESTONIA,2018
73,ARTICLES OF IRON OR STEEL,3.91,ESTONIA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,3.62,ETHIOPIA,2018
26,"ORES, SLAG AND ASH.",0.03,ETHIOPIA,2018
30,PHARMACEUTICAL PRODUCTS,129.72,ETHIOPIA,2018
52,COTTON.,4.2,ETHIOPIA,2018
73,ARTICLES OF IRON OR STEEL,13.51,ETHIOPIA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.07,FIJI IS,2018
26,"ORES, SLAG AND ASH.",0,FIJI IS,2018
30,PHARMACEUTICAL PRODUCTS,3.11,FIJI IS,2018
52,COTTON.,1.03,FIJI IS,2018
73,ARTICLES OF IRON OR STEEL,0.94,FIJI IS,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0,FINLAND,2018
30,PHARMACEUTICAL PRODUCTS,22.91,FINLAND,2018
52,COTTON.,0.51,FINLAND,2018
73,ARTICLES OF IRON OR STEEL,26.57,FINLAND,2018
52,COTTON.,0.05,FR GUIANA,2018
73,ARTICLES OF IRON OR STEEL,0.67,FR GUIANA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.02,FR POLYNESIA,2018
30,PHARMACEUTICAL PRODUCTS,0,FR POLYNESIA,2018
73,ARTICLES OF IRON OR STEEL,0.1,FR POLYNESIA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.4,FRANCE,2018
26,"ORES, SLAG AND ASH.",0.58,FRANCE,2018
30,PHARMACEUTICAL PRODUCTS,186.48,FRANCE,2018
52,COTTON.,9.13,FRANCE,2018
73,ARTICLES OF IRON OR STEEL,146.74,FRANCE,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.03,GABON,2018
26,"ORES, SLAG AND ASH.",0.03,GABON,2018
30,PHARMACEUTICAL PRODUCTS,1.78,GABON,2018
52,COTTON.,2.13,GABON,2018
73,ARTICLES OF IRON OR STEEL,1.64,GABON,2018
17,SUGARS AND SUGAR CONFECTIONERY.,5.41,GAMBIA,2018
30,PHARMACEUTICAL PRODUCTS,5.06,GAMBIA,2018
52,COTTON.,34.28,GAMBIA,2018
73,ARTICLES OF IRON OR STEEL,8.98,GAMBIA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.26,GEORGIA,2018
30,PHARMACEUTICAL PRODUCTS,10.44,GEORGIA,2018
52,COTTON.,0,GEORGIA,2018
73,ARTICLES OF IRON OR STEEL,2.65,GEORGIA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,3.4,GERMANY,2018
26,"ORES, SLAG AND ASH.",9.39,GERMANY,2018
30,PHARMACEUTICAL PRODUCTS,229,GERMANY,2018
52,COTTON.,84.29,GERMANY,2018
73,ARTICLES OF IRON OR STEEL,424.25,GERMANY,2018
17,SUGARS AND SUGAR CONFECTIONERY.,7.96,GHANA,2018
26,"ORES, SLAG AND ASH.",0.55,GHANA,2018
30,PHARMACEUTICAL PRODUCTS,96.72,GHANA,2018
52,COTTON.,9.54,GHANA,2018
73,ARTICLES OF IRON OR STEEL,41.06,GHANA,2018
30,PHARMACEUTICAL PRODUCTS,0,GIBRALTAR,2018
73,ARTICLES OF IRON OR STEEL,0,GIBRALTAR,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.02,GREECE,2018
30,PHARMACEUTICAL PRODUCTS,3.85,GREECE,2018
52,COTTON.,5.64,GREECE,2018
73,ARTICLES OF IRON OR STEEL,13.9,GREECE,2018
30,PHARMACEUTICAL PRODUCTS,0.19,GRENADA,2018
73,ARTICLES OF IRON OR STEEL,0.16,GRENADA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.02,GUADELOUPE,2018
30,PHARMACEUTICAL PRODUCTS,0,GUADELOUPE,2018
52,COTTON.,0.15,GUADELOUPE,2018
73,ARTICLES OF IRON OR STEEL,0.62,GUADELOUPE,2018
30,PHARMACEUTICAL PRODUCTS,0.1,GUAM,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.16,GUATEMALA,2018
30,PHARMACEUTICAL PRODUCTS,42.96,GUATEMALA,2018
52,COTTON.,52.68,GUATEMALA,2018
73,ARTICLES OF IRON OR STEEL,3.03,GUATEMALA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,1.87,GUINEA,2018
30,PHARMACEUTICAL PRODUCTS,49.54,GUINEA,2018
52,COTTON.,13.68,GUINEA,2018
73,ARTICLES OF IRON OR STEEL,6.85,GUINEA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.21,GUINEA BISSAU,2018
30,PHARMACEUTICAL PRODUCTS,1.46,GUINEA BISSAU,2018
73,ARTICLES OF IRON OR STEEL,0.01,GUINEA BISSAU,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.04,GUYANA,2018
30,PHARMACEUTICAL PRODUCTS,9.29,GUYANA,2018
52,COTTON.,0.04,GUYANA,2018
73,ARTICLES OF IRON OR STEEL,0.9,GUYANA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,1.28,HAITI,2018
30,PHARMACEUTICAL PRODUCTS,19.78,HAITI,2018
52,COTTON.,0.09,HAITI,2018
73,ARTICLES OF IRON OR STEEL,0.57,HAITI,2018
30,PHARMACEUTICAL PRODUCTS,23.16,HONDURAS,2018
52,COTTON.,2.44,HONDURAS,2018
73,ARTICLES OF IRON OR STEEL,1.86,HONDURAS,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.37,HONG KONG,2018
26,"ORES, SLAG AND ASH.",0,HONG KONG,2018
30,PHARMACEUTICAL PRODUCTS,24.09,HONG KONG,2018
52,COTTON.,33.59,HONG KONG,2018
73,ARTICLES OF IRON OR STEEL,4.73,HONG KONG,2018
30,PHARMACEUTICAL PRODUCTS,64.33,HUNGARY,2018
52,COTTON.,0.65,HUNGARY,2018
73,ARTICLES OF IRON OR STEEL,13.68,HUNGARY,2018
30,PHARMACEUTICAL PRODUCTS,0.04,ICELAND,2018
73,ARTICLES OF IRON OR STEEL,0.07,ICELAND,2018
17,SUGARS AND SUGAR CONFECTIONERY.,11.14,INDONESIA,2018
26,"ORES, SLAG AND ASH.",12.23,INDONESIA,2018
30,PHARMACEUTICAL PRODUCTS,59.76,INDONESIA,2018
52,COTTON.,104.21,INDONESIA,2018
73,ARTICLES OF IRON OR STEEL,59.07,INDONESIA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,40.56,IRAN,2018
26,"ORES, SLAG AND ASH.",0.41,IRAN,2018
30,PHARMACEUTICAL PRODUCTS,63.02,IRAN,2018
52,COTTON.,12.08,IRAN,2018
73,ARTICLES OF IRON OR STEEL,4.97,IRAN,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.4,IRAQ,2018
26,"ORES, SLAG AND ASH.",0.29,IRAQ,2018
30,PHARMACEUTICAL PRODUCTS,104.56,IRAQ,2018
52,COTTON.,0.07,IRAQ,2018
73,ARTICLES OF IRON OR STEEL,32.04,IRAQ,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.03,IRELAND,2018
30,PHARMACEUTICAL PRODUCTS,24.01,IRELAND,2018
52,COTTON.,0.18,IRELAND,2018
73,ARTICLES OF IRON OR STEEL,20.08,IRELAND,2018
17,SUGARS AND SUGAR CONFECTIONERY.,3.1,ISRAEL,2018
26,"ORES, SLAG AND ASH.",0.03,ISRAEL,2018
30,PHARMACEUTICAL PRODUCTS,6.65,ISRAEL,2018
52,COTTON.,16.98,ISRAEL,2018
73,ARTICLES OF IRON OR STEEL,15.73,ISRAEL,2018
17,SUGARS AND SUGAR CONFECTIONERY.,10.93,ITALY,2018
26,"ORES, SLAG AND ASH.",1.5,ITALY,2018
30,PHARMACEUTICAL PRODUCTS,43.64,ITALY,2018
52,COTTON.,93.61,ITALY,2018
73,ARTICLES OF IRON OR STEEL,187.08,ITALY,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.19,JAMAICA,2018
30,PHARMACEUTICAL PRODUCTS,22.35,JAMAICA,2018
52,COTTON.,0.14,JAMAICA,2018
73,ARTICLES OF IRON OR STEEL,0.93,JAMAICA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.14,JAPAN,2018
26,"ORES, SLAG AND ASH.",136.48,JAPAN,2018
30,PHARMACEUTICAL PRODUCTS,58.22,JAPAN,2018
52,COTTON.,65.61,JAPAN,2018
73,ARTICLES OF IRON OR STEEL,51.74,JAPAN,2018
17,SUGARS AND SUGAR CONFECTIONERY.,46.59,JORDAN,2018
26,"ORES, SLAG AND ASH.",0,JORDAN,2018
30,PHARMACEUTICAL PRODUCTS,17.69,JORDAN,2018
52,COTTON.,9.15,JORDAN,2018
73,ARTICLES OF IRON OR STEEL,24.37,JORDAN,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0,KAZAKHSTAN,2018
30,PHARMACEUTICAL PRODUCTS,48.29,KAZAKHSTAN,2018
52,COTTON.,0.13,KAZAKHSTAN,2018
73,ARTICLES OF IRON OR STEEL,0.94,KAZAKHSTAN,2018
17,SUGARS AND SUGAR CONFECTIONERY.,30.06,KENYA,2018
26,"ORES, SLAG AND ASH.",2.92,KENYA,2018
30,PHARMACEUTICAL PRODUCTS,223.56,KENYA,2018
52,COTTON.,11.57,KENYA,2018
73,ARTICLES OF IRON OR STEEL,35.75,KENYA,2018
30,PHARMACEUTICAL PRODUCTS,0.14,KIRIBATI REP,2018
73,ARTICLES OF IRON OR STEEL,0.01,KIRIBATI REP,2018
26,"ORES, SLAG AND ASH.",12.31,KOREA DP RP,2018
30,PHARMACEUTICAL PRODUCTS,3.29,KOREA DP RP,2018
52,COTTON.,1.72,KOREA DP RP,2018
73,ARTICLES OF IRON OR STEEL,0.04,KOREA DP RP,2018
17,SUGARS AND SUGAR CONFECTIONERY.,5.28,KOREA RP,2018
26,"ORES, SLAG AND ASH.",130.4,KOREA RP,2018
30,PHARMACEUTICAL PRODUCTS,14.27,KOREA RP,2018
52,COTTON.,237.03,KOREA RP,2018
73,ARTICLES OF IRON OR STEEL,42.14,KOREA RP,2018
17,SUGARS AND SUGAR CONFECTIONERY.,6.91,KUWAIT,2018
26,"ORES, SLAG AND ASH.",5.68,KUWAIT,2018
30,PHARMACEUTICAL PRODUCTS,3.08,KUWAIT,2018
52,COTTON.,4.98,KUWAIT,2018
73,ARTICLES OF IRON OR STEEL,103.2,KUWAIT,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0,KYRGHYZSTAN,2018
30,PHARMACEUTICAL PRODUCTS,8.64,KYRGHYZSTAN,2018
52,COTTON.,0.03,KYRGHYZSTAN,2018
73,ARTICLES OF IRON OR STEEL,0,KYRGHYZSTAN,2018
30,PHARMACEUTICAL PRODUCTS,3.19,LAO PD RP,2018
73,ARTICLES OF IRON OR STEEL,1.05,LAO PD RP,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0,LATVIA,2018
26,"ORES, SLAG AND ASH.",0.03,LATVIA,2018
30,PHARMACEUTICAL PRODUCTS,9.26,LATVIA,2018
52,COTTON.,0.32,LATVIA,2018
73,ARTICLES OF IRON OR STEEL,1.78,LATVIA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.39,LEBANON,2018
30,PHARMACEUTICAL PRODUCTS,17.26,LEBANON,2018
52,COTTON.,4.16,LEBANON,2018
73,ARTICLES OF IRON OR STEEL,3.83,LEBANON,2018
30,PHARMACEUTICAL PRODUCTS,13.6,LESOTHO,2018
52,COTTON.,10.88,LESOTHO,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.4,LIBERIA,2018
30,PHARMACEUTICAL PRODUCTS,8.99,LIBERIA,2018
73,ARTICLES OF IRON OR STEEL,2.09,LIBERIA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.13,LIBYA,2018
30,PHARMACEUTICAL PRODUCTS,12.78,LIBYA,2018
73,ARTICLES OF IRON OR STEEL,4.06,LIBYA,2018
30,PHARMACEUTICAL PRODUCTS,0.08,LIECHTENSTEIN,2018
73,ARTICLES OF IRON OR STEEL,0.05,LIECHTENSTEIN,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.03,LITHUANIA,2018
26,"ORES, SLAG AND ASH.",0.01,LITHUANIA,2018
